代码,名称,总市值,上市时间
603291,N联合,3571981898.0,2023-03-27
688316,青云科技-U,3625635548.0,2021-03-16
688662,富信科技,3091929600.0,2021-04-01
603282,亚光股份,4734551600.0,2023-03-15
688258,卓易信息,4812177746.0,2019-12-09
688058,宝兰德,3650640000.0,2019-11-01
688228,开普云,4139447910.0,2020-03-27
688160,步科股份,3872400000.0,2020-11-12
605178,时空科技,2340352728.0,2020-08-21
688288,鸿泉物联,2608941920.0,2019-11-06
605398,新炬网络,3247769213.0,2021-01-21
688329,艾隆科技,2792324000.0,2021-03-29
603956,威派格,4799629827.0,2019-02-22
688355,明志科技,3656704124.0,2021-05-12
688021,奥福环保,2212629010.0,2019-11-06
688015,交控科技,4674153900.0,2019-07-22
603949,雪龙集团,3750001341.0,2020-03-10
688678,福立旺,4021720000.0,2020-12-23
688393,安必平,2833802400.0,2020-08-20
688108,赛诺医疗,2603500000.0,2019-10-30
603097,江苏华辰,3262400000.0,2022-05-12
688051,佳华科技,3265041480.0,2020-03-20
688159,有方科技,2094876461.0,2020-01-23
688580,伟思医疗,4474276128.0,2020-07-21
688386,泛亚微透,3654000000.0,2020-10-16
688251,井松智能,2107927618.0,2022-06-06
688078,龙软科技,3395545500.0,2019-12-30
688255,凯尔达,3183633207.0,2021-10-25
688500,慧辰股份,2439917654.0,2020-07-16
688109,品茗科技,2120586000.0,2021-03-30
688597,煜邦电力,2745919569.0,2021-06-17
688218,江苏北人,2623310239.0,2019-12-11
605580,恒盛能源,3126000000.0,2021-08-19
688010,福光股份,3973164865.0,2019-07-22
603836,海程邦达,3511574905.0,2021-05-26
688607,康众医疗,2071032135.0,2021-02-01
688136,科兴制药,4436985515.0,2020-12-14
605319,无锡振华,3508672000.0,2021-06-07
688273,麦澜德,4101000000.0,2022-08-11
688068,热景生物,4613575320.0,2019-09-30
688026,洁特生物,3266250733.0,2020-01-22
688175,高凌信息,3827742815.0,2022-03-15
688191,智洋创新,2985819039.0,2021-04-08
688081,兴图新科,1689120000.0,2020-01-06
688217,睿昂基因,2574329419.0,2021-05-17
688613,奥精医疗,3344000017.0,2021-05-21
603230,内蒙新华,4390755660.0,2021-12-24
688125,安达智能,4087272686.0,2022-04-15
688456,有研粉材,3271509600.0,2021-03-17
688030,山石网科,4758042221.0,2019-09-30
605277,新亚电子,3683678597.0,2021-01-06
688090,瑞松科技,1956151476.0,2020-02-17
603895,天永智能,3025159200.0,2018-01-22
688416,恒烁股份,4510342688.0,2022-08-29
688049,炬芯科技,4934900000.0,2021-11-29
603351,威尔药业,3437087820.0,2019-01-30
605567,春雪食品,2934000000.0,2021-10-13
688701,卓锦股份,1201782479.0,2021-09-16
688793,倍轻松,3377872000.0,2021-07-15
688199,久日新材,4152096444.0,2019-11-05
603102,百合股份,2838400000.0,2022-01-25
688466,金科环境,2069586400.0,2020-05-08
605177,东亚药业,2770704000.0,2020-11-25
688767,博拓生物,4707200015.0,2021-09-08
688338,赛科希德,4097096640.0,2020-08-06
603687,大胜达,4215635953.0,2019-07-26
688060,云涌科技,4167184005.0,2020-07-10
688345,博力威,4548000000.0,2021-06-11
603739,蔚蓝生物,3630112020.0,2019-01-16
603163,圣晖集成,2793600000.0,2022-10-13
688799,华纳药厂,3406816000.0,2021-07-13
688226,威腾电气,3237000000.0,2021-07-07
688485,九州一轨,2771385623.0,2023-01-18
603629,利通电子,3217760000.0,2018-12-24
688509,正元地信,3996300000.0,2021-07-30
605299,舒华体育,4987367880.0,2020-12-15
688181,八亿时空,4297872774.0,2020-01-06
603950,长源东谷,4674429180.0,2020-05-26
603150,万朗磁塑,2485194300.0,2022-01-24
688096,京源环保,1463339025.0,2020-04-09
603390,通达电气,2581382463.0,2019-11-25
688379,华光新材,1798912230.0,2020-08-19
605287,德才股份,2511000000.0,2021-07-06
605378,野马电池,3206827000.0,2021-04-12
688718,唯赛勃,3151904616.0,2021-07-28
688219,会通股份,4726028573.0,2020-11-18
605298,必得科技,2045628000.0,2021-03-01
688358,祥生医疗,3989391026.0,2019-12-03
688178,万德斯,1729732158.0,2020-01-14
603130,云中马,3542000000.0,2022-11-18
688395,正弦电气,1822340000.0,2021-04-29
603073,彩蝶实业,2495160000.0,2023-03-16
605081,太和水,2053169415.0,2021-02-09
688310,迈得医疗,3293122807.0,2019-12-03
605259,绿田机械,3240160000.0,2021-06-15
688069,德林海,2431209192.0,2020-07-22
688098,申联生物,3350855040.0,2019-10-28
688080,映翰通,3176431417.0,2020-02-12
688557,兰剑智能,2608126300.0,2020-12-02
688189,南新制药,3063480000.0,2020-03-26
603211,晋拓股份,4340773760.0,2022-07-25
603948,建业股份,3707309300.0,2020-03-02
603201,常润股份,2603406689.0,2022-07-29
688616,西力科技,1968000000.0,2021-03-18
688681,科汇股份,1727055000.0,2021-06-16
603700,宁水集团,2908393020.0,2019-01-22
605488,福莱新材,2566619451.0,2021-05-13
603863,松炀资源,3020634000.0,2019-06-21
605001,威奥股份,2907356400.0,2020-05-22
605098,行动教育,4203598160.0,2021-04-21
688296,和达科技,2973716600.0,2021-07-27
688272,富吉瑞,1530640000.0,2021-10-18
605167,利柏特,3839548500.0,2021-07-26
603048,浙江黎明,2657059200.0,2021-11-16
605088,冠盛股份,3155078850.0,2020-08-17
603112,华翔股份,4856922604.0,2020-09-17
688011,新光光电,2807000000.0,2019-07-22
605289,罗曼股份,3097369125.0,2021-04-26
688184,帕瓦股份,4935712314.0,2022-09-19
688367,工大高科,1622703553.0,2021-06-28
688004,博汇科技,1959600000.0,2020-06-12
688129,东来技术,1800000000.0,2020-10-23
605196,华通线缆,3846044577.0,2021-05-11
603221,爱丽家居,1958400000.0,2020-03-23
605228,神通科技,3730446400.0,2021-01-20
603151,邦基科技,3183600000.0,2022-10-19
605069,正和生态,2142381513.0,2021-08-16
603967,中创物流,3560267112.0,2019-04-29
688698,伟创电气,4192200000.0,2020-12-29
603657,春光科技,2299309545.0,2018-07-30
605336,帅丰电器,3228818843.0,2020-10-19
688168,安博通,3465635350.0,2019-09-06
603059,倍加洁,2438000000.0,2018-03-02
688237,超卓航科,4391458223.0,2022-07-01
688480,赛恩斯,3094194144.0,2022-11-25
688656,浩欧博,2413872796.0,2021-01-13
688551,科威尔,4738692422.0,2020-09-10
688501,青达环保,2158476000.0,2021-07-16
688420,美腾科技,3806911500.0,2022-12-09
605268,王力安防,4389511500.0,2021-02-24
605066,天正电气,3268150000.0,2020-08-07
688117,圣诺生物,2721600000.0,2021-06-03
688163,赛伦生物,2677362800.0,2022-03-11
603897,长城科技,4477589921.0,2018-04-10
688737,中自科技,3556685908.0,2021-10-22
688155,先惠技术,4194184639.0,2020-08-11
603709,中源家居,1368000000.0,2018-02-08
