序号,股票代码,股票简称,每股收益,营业收入-营业收入,营业收入-同比增长,营业收入-季度环比增长,净利润-净利润,净利润-同比增长,净利润-季度环比增长,每股净资产,净资产收益率,每股经营现金流量,销售毛利率,所处行业,最新公告日期
1,688660,电气风电,-0.25,12075139759.63,-48.6119600555,252.3102,-338066603.73,-166.68,-168.6457,5.355428084109,-4.53,-0.538167483002,14.2136693259,风电设备,2023-03-28
2,688608,恒玄科技,1.0211,1484798365.59,-15.8915651115,-34.5745,122419406.98,-69.97,-140.1584,49.689702323917,2.06,-3.000189813917,39.3659265127,半导体,2023-03-28
3,688507,索辰科技,1.73,268052325.83,39.107762734,,53767408.63,6.77,,16.98659087871,10.74,0.029891510645,63.4106657138,,2023-03-28
4,688505,复旦张江,0.13,1031159838.0,-9.5722175908,-29.2383,137997098.0,-35.3,38.9773,2.19349097862,6.21,0.160610905734,91.8478139953,化学制药,2023-03-28
5,688489,三未信安,1.8167,339764315.16,25.685117358,115.4499,107205128.91,43.52,399.8976,24.476010255474,19.32,-0.07803222239,75.471104842,电子元件,2023-03-28
6,688185,康希诺,-3.68,1034595000.0,-75.9379836091,321.6223,-909431000.0,-147.51,10.6091,27.270519296828,-12.36,-7.482501515458,59.7485972772,生物制品,2023-03-28
7,688183,生益电子,0.38,3534688853.21,-3.0900351137,-2.0084,312909308.68,18.4,2.7567,4.909843392253,7.88,0.890866133217,23.8492817987,电子元件,2023-03-28
8,688122,西部超导,2.3273,4227178114.82,44.4093666326,-18.7787,1079992357.34,45.65,-27.5879,12.922292124104,19.16,0.642974881315,39.4520645182,有色金属,2023-03-28
9,605368,蓝天燃气,1.24,4753700193.84,21.8618098615,24.901,592265300.95,40.72,-36.3011,7.399348275421,18.24,1.677300295395,21.0560351683,燃气,2023-03-28
10,605099,共创草坪,1.12,2470754977.9,7.3466409273,-18.6217,447030482.43,17.55,-35.9155,5.699032225908,21.01,1.25942946748,28.7391636614,家用轻工,2023-03-28
11,603886,元祖股份,1.11,2587144580.12,0.1094624865,-57.4671,266374236.6,-21.62,-113.5225,6.757488817833,16.97,2.317117828042,60.1354075078,食品饮料,2023-03-28
12,603659,璞泰来,2.24,15463905959.37,71.8995996177,-10.3733,3104433993.56,77.53,-5.2824,9.675464692129,26.0,0.879591159907,35.6577448613,电池,2023-03-28
13,603368,柳药集团,1.94,19052830880.56,11.1936240493,-3.7897,701518265.38,24.42,-38.7789,16.056496767644,12.26,1.398098705788,11.5051310678,医药商业,2023-03-28
14,603336,宏辉果蔬,0.11,1132815675.94,16.2743836668,28.0632,47407947.77,0.9,-118.1029,2.509346752385,4.25,-0.088829149083,8.4516225449,农牧饲渔,2023-03-28
15,603283,赛腾股份,1.66,2929776450.19,26.3622031807,-26.5583,306990593.92,71.17,-58.2288,8.794842402082,20.51,1.882461843973,40.0985157473,专用设备,2023-03-28
16,603255,鼎际得,0.99,899787634.63,21.8031068654,6.7813,110109653.2,-18.27,25.8887,11.290901731441,10.87,0.28443807374,24.2473992655,化学制品,2023-03-28
17,603137,恒尚节能,,1943591893.55,-5.9920025538,,117530254.09,32.08,,5.664766408061,23.68,-2.027167952143,16.3896563022,,2023-03-28
18,603132,金徽股份,0.49,1239473546.55,-1.0366482602,51.1311,469943790.22,1.52,146.0058,3.211953110041,15.31,0.662742617096,67.7619932743,有色金属,2023-03-28
19,603052,可川科技,2.84,905287704.35,20.7164356838,-12.2677,158478090.39,52.73,-46.4881,15.803422101744,25.45,0.380731601744,27.2542784812,电子元件,2023-03-28
20,603010,万盛股份,0.65,3564211233.1,-13.3765573423,11.8337,365276208.63,-55.7,76.0229,6.79614030564,10.33,0.857436343894,22.1247893466,塑料制品,2023-03-28
21,601975,招商南油,0.3,6264414542.28,62.196592126,2.076,1433804824.23,383.67,-7.8077,1.524220523972,21.78,0.40330613348,30.0172329763,航运港口,2023-03-28
22,601916,浙商银行,0.56,61085000000.0,12.1422408254,-16.3297,13618000000.0,7.67,-54.394,6.48540128826,9.01,7.887770934224,,银行,2023-03-28
23,601865,福莱特,0.99,15460843227.36,77.4410483804,8.5902,2122780428.43,0.13,23.3154,6.307118954473,16.0,0.082397011901,22.0728733716,玻璃玻纤,2023-03-28
24,601598,中国外运,0.55,108816723455.02,-12.4904476459,12.7849,4068260121.39,9.55,-56.7894,4.740384675619,11.93,0.695876900056,5.5451536205,物流行业,2023-03-28
25,601117,中国化学,0.89,158437111623.4,14.8772727894,-16.6473,5415214018.5,16.87,58.2324,8.656985645826,10.71,0.245456162062,9.3372375739,工程建设,2023-03-28
26,600995,南网储能,0.64,8260893377.42,0.6413090839,-64.2532,1662532465.52,33.25,-71.7031,6.23205644119,11.48,1.439494682689,48.3253140694,电力行业,2023-03-28
27,600925,苏能股份,0.44,15140206384.77,29.6514488258,,2717969669.42,37.44,,1.760933350715,,0.700251529981,40.3464420466,煤炭行业,2023-03-28
28,600874,创业环保,0.51,4522167000.0,-0.2957064578,16.6034,751254000.0,8.38,-49.9772,5.399500642504,9.88,0.580769578545,33.9688693496,公用事业,2023-03-28
29,600866,星湖科技,0.5122,17486316704.24,329.5074676416,4588.4686,608326061.03,299.85,1165.3078,4.141411081794,13.46,1.000622311424,17.6483460133,食品饮料,2023-03-28
30,600857,宁波中百,1.61,907087395.48,8.7644687973,12.5196,362167866.8,909.82,123.4199,3.490395035895,57.51,0.030513851336,7.3295184005,商业百货,2023-03-28
31,600829,人民同泰,0.4543,9641093055.29,3.4981127263,-10.0589,263446624.5,-4.99,-16.6668,4.248570722145,11.3,0.529977397883,9.5169422635,医药商业,2023-03-28
32,600794,保税科技,0.14,1341347273.46,-28.3156835387,-9.0313,163387968.88,62.17,-23.3907,1.924178797687,7.14,0.415385616098,24.9860815615,物流行业,2023-03-28
33,600748,上实发展,0.07,5247943728.81,-47.8501406132,403.7308,122661872.87,-33.24,1268.0568,5.413852857314,1.23,1.140161922741,21.4477206316,房地产开发,2023-03-28
34,600683,京投发展,-0.17,5552378113.6,-17.9359780855,163.367,202194286.9,-38.47,-161.8978,3.882119492445,-4.09,-11.277127505531,19.5429657329,房地产开发,2023-03-28
35,600585,海螺水泥,2.96,132021553710.0,-21.3968830618,60.7218,15660749869.0,-52.92,25.7166,34.653375985497,8.5,1.82085619233,21.3028726073,水泥建材,2023-03-28
36,600575,淮河能源,0.09,25356855901.32,11.3277856905,-37.6285,346997427.17,-20.5,-210.3009,2.627666300437,3.46,0.430067666046,6.9470011011,物流行业,2023-03-28
37,600546,山煤国际,3.52,46390510476.44,-3.4609780869,-25.6782,6981062043.1,41.38,-14.3219,7.573138061965,52.07,6.807485698317,44.8359678814,煤炭行业,2023-03-28
38,600535,天士力,-0.17,8593199779.15,8.0639671801,19.2582,-256514049.91,-110.87,6.3976,8.271597699508,-2.04,1.523727821541,64.0452864937,中药,2023-03-28
39,600528,中铁工业,0.79,28817098540.13,6.1123080583,29.1967,1867126952.23,0.58,-29.5249,9.619937269991,7.53,0.5478191148,18.0763884918,交运设备,2023-03-28
40,600284,浦东建设,0.5849,14084286770.5,23.6029064664,26.3922,567542084.27,6.11,-27.489,7.405631206754,8.13,2.527404685073,7.6106086854,工程建设,2023-03-28
41,600266,城建发展,-0.5591,24561879581.13,1.5613948994,997.4173,-926179072.98,-244.43,69.5611,8.967444721271,-5.55,3.694603547718,13.7335248592,房地产开发,2023-03-28
42,600243,青海华鼎,-0.35,535110722.61,-18.7777959346,-2.9761,-152693513.18,-36.6344062669,-1425.0376,2.034409736607,-15.76,-0.060990476632,8.7547001734,通用设备,2023-03-28
43,600202,哈空调,0.0977,1103088240.59,29.3512878565,79.86,37456569.61,-43.37,-94.407,2.112933018832,4.73,0.12335522921,14.6489326252,电源设备,2023-03-28
44,600196,复星医药,1.43,43951546895.23,12.6639647184,20.17,3730804582.82,-21.1,40.7266,16.684073579006,9.04,1.578339710894,47.2835609747,化学制药,2023-03-28
45,600178,东安动力,0.229,5767077876.03,-12.4284126531,-25.1342,108429890.66,19.58,-98.2804,5.331615076361,4.2937,0.800143063038,9.3870833668,汽车零部件,2023-03-28
46,600171,上海贝岭,0.57,2044266388.63,0.9846078232,25.2668,399034926.7,-45.29,-61.4749,5.935584881788,9.88,-0.28632048324,34.0898801245,半导体,2023-03-28
47,600085,同仁堂,1.04,15372423363.17,5.2682141766,31.7946,1425811705.31,16.17,63.0518,8.60921003959,12.71,2.256189120541,48.803569539,中药,2023-03-28
48,600066,宇通客车,0.34,21798960604.67,-6.1742950931,78.921,759142726.07,23.68,220.4578,6.537047563112,5.15,1.46959987417,22.8260333566,汽车整车,2023-03-28
49,600062,华润双鹤,1.1235,9446925267.13,3.6811470465,1.8406,1163649615.44,24.36,-23.5818,9.607985178789,11.71,1.286166040459,55.204314322,化学制药,2023-03-28
50,600016,民生银行,0.71,142476000000.0,-15.596786806,-1.503,35269000000.0,2.58,-83.6871,11.533643963273,6.31,3.79774793294,,银行,2023-03-28
51,301387,光大同创,1.99,995704032.83,0.0341923783,,113711700.86,-11.96,,10.038108411579,21.86,2.37742123386,28.8897201041,,2023-03-28
52,301357,北方长龙,1.57,250222638.95,-12.95199914,,80020515.55,-26.32,,7.705758516667,22.71,1.004594058235,57.0672264905,,2023-03-28
53,301106,骏成科技,1.2776,632654725.79,12.0230867002,-3.4401,90767726.53,15.53,-29.8585,15.547655065804,8.74,0.883395852941,23.0670225592,光学光电子,2023-03-28
54,301039,中集车辆,0.55,23620612415.36,-14.5659168111,0.0572,1117958345.49,24.11,54.9713,6.294499771213,9.18,0.57192085449,13.2816068052,汽车整车,2023-03-28
55,300885,海昌新材,0.2281,220066312.42,-30.0754373451,-12.7267,57201296.46,-32.21,-31.0536,3.146714765869,7.52,0.372815925877,33.5324160879,通用设备,2023-03-28
