序号,股票代码,股票简称,每股收益,营业收入-营业收入,营业收入-同比增长,营业收入-季度环比增长,净利润-净利润,净利润-同比增长,净利润-季度环比增长,每股净资产,净资产收益率,每股经营现金流量,销售毛利率,所处行业,最新公告日期
1,600168,武汉控股,0.06,635970712.22,5.3693520559,24.7274,41005323.06,-62.73,-79.8004,7.402048751597,0.7,-0.373068597369,23.0802108115,公用事业,2023-03-15
2,839826,飞沃科技,,269156400.0,,,24147200.0,,,,,0.211557731331,19.61773898,,2023-03-02
3,688701,卓锦股份,-0.02,70650672.51,43.8925389538,-55.7272,-2244197.77,7.7148728211,-232.8337,3.776533205461,-0.42,-0.274015497935,21.9354569453,环保行业,2022-12-29
4,600079,人福医药,0.57,5184522655.83,11.0112597781,-8.853,914339393.95,203.83,309.6542,8.44149923018,6.82,-0.021889750907,44.7235842425,化学制药,2022-12-23
5,836699,海达尔,0.81,70707128.82,16.0974855519,-7.8932,8135759.91,-12.5270752201,66.897,8.382406037,10.2,1.25946942,21.9221806467,,2022-12-19
6,833575,康乐卫士,-0.58,163628.29,140.1297327536,137.5341,-74214708.75,-114.5260404719,-11.721,8.558149874251,-6.29,-0.815850588174,95.7584535046,化学制药,2022-12-16
7,300201,*ST海伦,0.0192,212685309.77,-11.2962743631,-65.172,19976311.13,99.61,-75.8844,1.252419093771,1.9,-0.079957438943,35.9131644036,工程机械,2022-12-13
8,873001,纬达光电,0.14,63027375.66,15.5202800301,0.9325,15597895.11,19.3811914767,-0.538,3.305418842531,4.18,0.126094023339,43.2768136137,光学光电子,2022-12-12
9,873305,九菱科技,0.12,32540825.84,-9.7668753175,-27.8214,4083491.47,-47.96915982,-60.4181,4.958608623397,2.48,0.214445773818,22.8850064427,通用设备,2022-12-06
10,688020,方邦股份,-0.16,96030883.93,62.8768534742,-5.1713,-12599335.96,-164.7162896282,-1.1976,19.9749993825,-0.78,-0.4445237,24.7311822281,电子元件,2022-12-02
11,002224,三力士,-0.01,156564213.76,-7.6858860417,-48.6712,-6281556.55,-180.76,-1541.9879,3.269256173923,-0.26,-0.107182695598,25.8064026317,橡胶制品,2022-12-02
12,833455,汇隆活塞,0.06,28499144.07,10.937923045,-20.0093,7353103.66,15.4005871589,-19.5412,1.502657766563,3.9,-0.035880827891,46.5172731414,,2022-11-30
13,873949,昌德微电,0.15,29355621.51,,,2907025.07,,,2.6277215825,5.71,0.1826535565,25.3026602672,,2022-11-29
14,832471,美邦科技,0.34,148591384.73,77.5596797031,-18.9024,23704514.32,77.34,-38.1753,5.879837394714,5.93,0.807242348714,40.5352499739,,2022-11-28
15,600243,青海华鼎,-0.021,132880584.92,23.5280440865,-42.1213,-8956673.07,43.9172803854,90.362,2.398572852182,-0.85,-0.023146102996,18.9468702333,通用设备,2022-11-24
16,838262,太湖雪,0.235,50698949.77,-33.0054813507,-61.3962,6456906.21,-13.4886748981,-53.761,6.757156586345,3.97,0.105388981638,49.0376849871,纺织服装,2022-11-17
17,002970,锐明技术,-0.34,250094195.61,-4.0466643006,-39.9591,-58424732.53,-199.01,-166.2855,8.353555365296,-3.96,0.030892251848,30.6855745264,计算机设备,2022-11-10
18,400067,欣泰3,-0.04,553320.88,-17.2670787208,-78.3621,-6356635.74,-1.25,55.6165,-2.156684482375,-1.73,-0.006300845995,32.4579130287,,2022-11-02
